"08_mozart/CrossComp-0745_08_mozart_10_in_f_major244.mp3",0.000000000,"N"
,0.100000000,"F"
,1.800000000,"C7/E"
,5.200000000,"F"
,7.100000000,"Bbm"
,8.300000000,"F"
,12.500000000,"C7/E"
,15.200000000,"Gdim7/F"
,16.300000000,"F"
,18.000000000,"Gm"
,20.600000000,"C"
,31.600000000,"Gdim"
,32.700000000,"G7"
,37.700000000,"C"
,40.800000000,"F"
,43.500000000,"C"
,49.100000000,"F"
,51.900000000,"C"
,60.900000000,"Cmaj7"
,62.900000000,"F"
,64.300000000,"C7/E"
,67.800000000,"F"
,69.700000000,"Bbm"
,71.000000000,"F"
,75.100000000,"C7/E"
,78.900000000,"F"
,80.600000000,"Gm"
,83.200000000,"C"
,94.200000000,"Gdim"
,95.500000000,"G7"
,100.300000000,"C/E"
,103.400000000,"F"
,106.200000000,"C"
,111.800000000,"F"
,114.600000000,"C"
,124.700000000,"Bm"
,125.500000000,"F"
,126.900000000,"Gm7"
,128.200000000,"Adim7"
,129.600000000,"F#m6"
,130.900000000,"Gm"
,132.200000000,"Cm"
,134.400000000,"Gdim7"
,135.700000000,"C7"
,136.200000000,"F6"
,138.400000000,"A7/C#"
,140.900000000,"Dm"
,142.900000000,"Gm"
,144.200000000,"Dm"
,146.500000000,"Gm"
,147.900000000,"Dm"
,151.900000000,"Gm"
,153.700000000,"F"
,155.100000000,"C7/E"
,158.500000000,"F"
,160.400000000,"Bbm"
,161.700000000,"F"
,163.600000000,"C7/E"
,164.400000000,"F"
,165.800000000,"C7/E"
,169.600000000,"F"
,171.300000000,"Gm"
,174.000000000,"C"
,184.400000000,"F#dim"
,185.700000000,"C7"
,190.900000000,"F"
,194.000000000,"Bb"
,196.600000000,"F"
,202.100000000,"Bb"
,204.800000000,"C"
,207.500000000,"F"
,219.800000000,"N"
,225.500000000,"N"
"08_mozart/CrossComp-0746_08_mozart_11_in_d_major245.mp3",0.000000000,"N"
,0.100000000,"D"
,6.100000000,"Edim7/D"
,7.900000000,"D"
,13.600000000,"Edim7/D"
,15.400000000,"D"
,23.800000000,"Abdim"
,24.800000000,"A"
,25.700000000,"E7/G#"
,26.600000000,"A"
,27.500000000,"D"
,29.600000000,"E"
,32.000000000,"E7"
,35.500000000,"A"
,41.000000000,"E7/G#"
,44.200000000,"A"
,49.500000000,"D"
,51.400000000,"A"
,56.900000000,"D"
,58.800000000,"A"
,63.500000000,"E"
,64.400000000,"A"
,66.400000000,"D"
